Dataset,SSIM,MSE,PSNR,FID

ADtoAD,0.8410927057266235,118.21314239501953,27.109643691386747,24.02719053097499
MCtoMC,0.8208336234092712,151.93820190429688,26.423393379981686,20.21454846281532
CNtoCN,0.8363329172134399,123.9236831665039,27.171435050546926,20.928655238894503



ADtoAD,0.8882697193939394,69.82018366666667,29.42941431901397,24.02719053097499
MCtoMC,0.8833835381355931,68.86738727966102,29.33735412624567,20.214548462815323
CNtoCN,0.8874677865517241,66.40775020689655,29.475800458339265,20.9286552388945
